Occurence Nature condition,,Report,Occurence Nature condition,prediction
OTHER                     ,42844,"['supplemental', 'information', 'right', 'fwd', 'emergency', 'lighting', 'battery', 'pack', 'failed', 'capacity', 'check', '01', 'removed', 'replaced', 'battery', 'pack', 'per', 'mm', '335106']",OTHER                     ,NO TEST                   
OTHER                     ,33727,"['rh', 'owe', 'emergency', 'exit', 'light', '1', 'burnt', 'segment', 'replaced', 'burnt', 'segment', 'rh', 'owe', 'emergency', 'exit', 'light', 'new', 'segment', 'iaw', 'amm', '335101960801', 'functional', 'test', 'good']",OTHER                     ,NO TEST                   
OTHER                     ,18966,"['ship', '6808', '1r', 'door', 'arm', 'corrective', 'action', 'found', 'door', 'dring', 'wrapped', 'girt', 'bar', 'resecured', 'door', 'ops', 'normal', '8407384']",OTHER                     ,F.O.D.                    
FALSE WARNING             ,49994,"['initial', 'take', 'roll', 'eicas', 'msg', 'eng', '2', 'reverser', 'performed', 'low', 'speed', 'reject', 'lt80kts', 'direction', 'mx', 'cntl', 'returned', 'blockspperf', 'high', 'energy', 'stop', 'inspection', 'per', 'amm', '055110', 'defects', 'noted', 'placed', '2', 'tr', 'mel', 'mddr', '145762p']",FALSE WARNING             ,OTHER                     
OTHER                     ,76613,"['3', 'ea', 'crackes', 'noted', 'lh', 'wing', 'lower', 'skin', 'str', 'l95', 'sta', '79', '9902', '2ea', 'cracks', 'outboard', 'fastener', '1', '12', '6', 'clock', 'looking', 'upfwd', 'arpx', '25', 'long', 'each', '1', 'ea', 'crack', 'inboard', 'fastener', '6', '12', 'clock', 'look', 'upfwd', 'approx', '18', 'long']",OTHER                     ,INFLIGHT SEPARATION       
WARNING INDICATION        ,66001,"['left', 'buss', 'light', 'illuminated', 'accompanied', 'isln', 'light', 'left', 'buss', 'tie', 'switch', 'left', 'gen', 'light', 'also', 'illuminated', 'crew', 'states', 'left', 'gen', 'reset', 'successfully', 'attempting', 'bring', 'left', 'buss', 'back', 'line', 'everything', 'tripped', 'again', 'overweight', 'landing', 'smooth', 'touchdown', '802', 'step', 'm1c', 'resistance', 'check', 'lh', 'gcu', 'd2108b', 'pin', 'a13', 'd13', 'found', 'resistance', 'high', '12', 'meg', 'ohms', 'range', '285', 'ohms', 'accomplished', 'idg', 'oil', 'level', 'check', '1', 'engine', 'found', 'oil', 'level', 'inspected', 'generator', 'feeder', 'cableslugs', 'terminal', 'block', 'pins', 'b13', 'amp', 'c13', 'within', 'range', 'disconnected', 'd1396', 'idg', 'found', 'pin', '12', 'connector', 'd40024p', 'open', 'see', 'photo', 'removed', 'harness', 'part', '19241130097']",WARNING INDICATION        ,ELECT. POWER LOSS-50 PC   
OTHER                     ,82935,"['corrosion', 'forward', 'entry', 'door', 'girt', 'bar', 'attach', 'point', 'bracket', 'bs', '344', 'lbl', '56', 'wl', '2081', '01', 'found', 'allowable', 'damage', 'srm', '5310151a1', 'corrosion', 'girt', 'bar', 'fitting', 'fwd', 'entry', 'door', 'bs', '344', 'lbl56', 'wl', '2081', 'part', 'repairable', 'replacement', 'iaw', 'srm', '5110020g0', 'part', '9c02', 'removed', 'girt', 'bar', 'fitting', 'fwd', 'entry', 'door', 'bs', '344', 'lbl56', 'wl', '2081', 'iaw', 'srm', '5140020g003', 'installed', 'girt', 'bar', 'fitting', 'fwd', 'entry', 'door', 'bs', '344', 'lbl56', 'wl', '2081', 'iaw', 'srm', '5140020g0', 'drawing141a522004', 'verified', 'corrective', 'action', '305', 'changed', 'repair', 'type', 'na', 'due', 'repaired', 'part', 'replac']",OTHER                     ,F.O.D.                    
OTHER                     ,63820,"['emergency', 'lights', 'associated', 'battery', 'pack', 'm1675', 'inop', 'grounded', 'yes', 'removed', 'replaced', 'm1675', 'power', 'supply', 'installation', 'test', 'good', 'iaw', 'b737800', 'amm', '335106960806']",OTHER                     ,NO TEST                   
OTHER                     ,39003,"['fwd', 'fas', 'megaphone', 'missing', 'cabin', '01', 'installed', 'new', 'fwd', 'megaphone', 'batteries', 'ops', 'check', 'good', 'ref', 'mm', '256400']",OTHER                     ,INFLIGHT SEPARATION       
OTHER                     ,7795,"['aircraft', 'grounded', 'airspeed', 'split', 'takeoffcaptain', '80', 'knots', 'first', 'officers', '90', 'knots', 'accomplished', 'tsm', '303100810847a', 'operational', 'test', 'probe', 'ice', 'protection', 'system', 'found', '1', 'probe', 'heat', 'computer', 'failed', 'test', 'replaced', '1', 'probe', 'heat', 'computer', 'accomplished', 'satisfactory', 'operational', 'check', 'per', 'amm', '303134']",OTHER                     ,AFFECT SYSTEMS            
OTHER                     ,57889,"['aircraft', 'grounded', 'row', '18', 'left', 'emergency', 'seat', 'light', 'assembly', 'missing', 'back', 'plate', 'hardware', 'installed', 'missing', 'emergency', 'light', 'escape', 'path', 'light', 'closeout', 'row', '18abc', 'per', 'cmm', '252367']",OTHER                     ,INADEQUATE Q C            
OTHER                     ,23727,"['pilot', 'reported', 'engine', 'surging', 'manifold', 'pressure', 'drop', 'flight', 'shut', 'engine', 'inflight', 'according', 'qrh', 'initial', 'inspection', 'found', 'shiny', 'particles', 'oil', 'filter', 'spark', 'plug', 'damaged', 'particles', 'propeller', 'governor', 'maintenance', 'confirmed', 'preignition', 'occurred', 'number', 'left', 'engine', '6', 'cylinder', 'engine', 'change', 'progress']",OTHER                     ,FLUID LOSS                
OTHER                     ,29275,"['difficult', 'open', 'close', 'flight', 'deck', 'door', 'removed', 'service', 'cleaned', 'debris', 'cockpit', 'door', 'electromechanical', 'latch', 'striker', 'cockpit', 'door', 'opens', 'closes', 'normallyeasily', 'defects', 'noted', 'returned', 'servic']",OTHER                     ,F.O.D.                    
OTHER                     ,31482,"['left', 'aileron', 'fitting', 'damper', 'attach', 'chafedcarard', 'lh', 'aileron', 'fitting', 'iaw', 'eo', 'em27mr112']",OTHER                     ,FLT CONT AFFECTED         
OTHER                     ,52527,"['performing', 'nose', 'landing', 'gear', 'link', 'assembly', 'pn4033600', 'inspection', '500', 'hour', 'repetitive', 'inspection', 'per', 'piper', 'service', 'letter', 'no', '1088', 'crack', 'indication', 'found', '10x', 'magnifying', 'visual', 'inspection', 'crack', 'confirmed', 'liquid', 'penetrant', 'inspect']",OTHER                     ,SIGNIFICANT FAILURE REPORT
OTHER                     ,77996,"['r2', 'door', 'assist', 'activation', 'slide', 'deployment', 'removed', 'service', 'removed', 'aft', 'service', 'door', 'pneumatic', 'assy', 'iaw', 'e175', 'amm', 'task', '524251000801a', 'steps', '1', '6e', 'step', '6f', 'require', 'removal', '7', 'installed', 'servicable', 'stock', 'pneumatic', 'assy', 'iaw', 'e175', 'amm', '524251400801a', 'steps', '1', '8s', 'note', 'step', 'r', 'require', 'adjustment', 'step', '9a', 'na', 'removed', 'complied', 'steps', '9', 'be', 'defects', 'leaks', 'noted', 'returned', 'servic']",OTHER                     ,SMOKE/FUMES/ODORS/SPARKS  
OTHER                     ,3987,"['aircraft', 'base', 'maintenance', 'main', 'cabin', 'ceiling', 'exit', 'sign', 'housing', 'assembly', 'cracked', 'covers', 'replaced', 'cov']",OTHER                     ,NO TEST                   
OTHER                     ,16369,"['ship', '3401', 'seat', '2j', 'floor', 'proximity', 'eepl', 'lens', 'missing', 'light', 'still', 'operational', 'corrective', 'action', 'replaced', 'light', 'assy', 'lens', 'seat', '2j', 'emer', 'light', '7286756']",OTHER                     ,INADEQUATE Q C            
OTHER                     ,97893,"['fwd', 'ceiling', 'lining', 'emergency', 'light', 'inoperative', 'removed', 'replaced', 'forward', 'aisle', 'ceiling', 'emergency', 'light', 'bulb', 'ops', 'check', 'good']",OTHER                     ,NO TEST                   
SMOKE/FUMES/ODORS/SPARKS  ,28410,"['emergency', 'declaredreport', 'smoke', 'flight', 'deck', 'aircraft', '985fx', 'returned', 'bwi', 'uneventfully', 'maintenance', 'performed', 'engine', 'run', 'could', 'duplicate', 'condit']",SMOKE/FUMES/ODORS/SPARKS  ,AFFECT SYSTEMS            
OTHER                     ,63567,"['small', 'nicks', '1', 'engine', 'fan', 'blade', '18', 'one', 'nick', 'fan', 'blade', '1', 'grounded', 'yes', '1', 'engine', 'fan', 'blades', 'blended', 'inspected', 'ref', 'b737800', 'mm', '722102201801']",OTHER                     ,F.O.D.                    
OTHER                     ,59479,"['aircraft', 'base', 'maintenance', 'l2', 'door', 'emergency', 'escape', 'slide', 'detached', 'red', 'lanyard', 'replaced', 'slide', 'assembly', 'per', 'task', 'card', '26c83252002']",OTHER                     ,NO TEST                   
OTHER                     ,26660,"['pack', '1', 'valve', 'closed', 'message', '4', 'times', 'climb', 'inspected', 'found', 'pack', '1', 'heat', 'exchanger', 'hose', 'torn', 'rr', 'pack', '1', 'eat', 'exchanger', 'hose', 'pack', 'ops', 'check', 'good', 'defects', 'noted', 'tim']",OTHER                     ,INADEQUATE Q C            
OTHER                     ,54194,"['aircraft', 'grounded', 'emergency', 'exit', 'light', 'seat', '8c', 'broken', 'replaced', 'emergency', 'light', 'assembly', 'seat', '8c', 'per', 'amm', '335119']",OTHER                     ,NO TEST                   
WARNING INDICATION        ,31172,"['bleed', 'air', 'r', 'red', 'annunciator', 'illuminated', 'fl', '220']",WARNING INDICATION        ,OTHER                     
OTHER                     ,66931,"['left', 'outboard', 'aft', 'flap', 'six', 'punctures', 'due', 'hail', '1', '103', 'inches', 'inboard', 'outboard', 'edge', '9', 'inches', 'trailing', 'edge', '25', 'inch', 'diameter', '2', '12925', 'inches', 'inboard', '625', 'inches', 'trailing', '5', 'inch', 'diameter', '3', '7525', 'inches', 'outboard', '35', 'inches', 'trailing', '75', 'inch', 'diameter', '4', '635', 'inches', 'outboard', '375', 'inches', 'trailing', '1', 'inch', 'diameter', '5', '42', 'inches', 'outboard', '15', 'trailing', 'edge', '15', 'inch', 'diameter', 'ref', 'srm', '5753011a1', 'delamination', 'noted', 'damaged', '6', '575', 'inches', 'outboard', '35', 'inches', 'trailing', 'edge', '75', 'inch', 'areas', 'covered', 'speed', 'tape', 'diameter', 'hail', 'damage', 'flap', 'damaged', 'areas', 'covered', 'tape', 'prevent', 'water', 'ingestion', 'item', 'locked', 'maint', 'ferry', 'unlocked', 'lp', 'updates', 'support', 'task', 'hail']",OTHER                     ,INFLIGHT SEPARATION       
OTHER                     ,2212,"['aircraft', 'grounded', 'r1', 'door', 'epas', 'battery', 'light', 'blinking', 'armed', 'removed', 'replaced', 'r1', 'door', 'epas', '9', 'volts', 'back', 'batteries', 'ref', 'amm', '521220']",OTHER                     ,NO TEST                   
WARNING INDICATION        ,9415,"['pilot', 'report', '22jul2021', 'wo', '16438431', 'takeoff', 'aborted', '60kt', 'due', 'ecam', 'annunciation', 'hyd', 'b', 'pump', 'lo', 'pr', 'hyd', 'b', 'sys', 'lo', 'pr', 'corrective', 'action', '23jul2021', 'accordance', 'amm', '291207000001a', 'amm', '291217400001a', 'electric', 'pump', 'pressure', 'switch', 'sys', 'hyd', 'b', 'replaced', 'test', 'satisfactori']",WARNING INDICATION        ,OTHER                     
OTHER                     ,64626,"['apu', 'oil', 'consumption', 'inspection', 'due', 'report', 'excessive', 'servicing', 'grounded', 'yes', 'performed', 'gvi', 'apu', 'ref', 'b737800', 'fim', '4995', 'task', '801', 'found', 'starter', 'generator', 'leaks', 'oil', 'crack', 'found', 'bottom', 'generator', 'performed', 'operation', 'apu', 'found', 'evidence', 'oil', 'leaking', 'crack', 'starter', 'generator', 'removed', 'replaced', 'apu', 'startergenerator', 'iaw', 'b737800', 'amm', '494121', 'ops', 'check', 'leak', 'check', 'good']",OTHER                     ,FLUID LOSS                
OTHER                     ,84980,"['several', 'emergency', 'exit', 'lights', 'near', 'lh', 'rh', 'overwing', 'exits', 'inop', '01', 'removed', 'replaced', 'battery', 'pack', 'm1695', 'ops', 'check', 'good', 'iaw', 'amm', '33510602', 'removed', 'replaced', 'battery', 'pack', 'm1694', 'ops', 'check', 'good', 'iaw', 'amm', '33510603', 'removed', 'replaced', 'battery', 'pack', 'm1671', 'ops', 'check', 'good', 'iaw', 'amm', '335106']",OTHER                     ,NO TEST                   
SMOKE/FUMES/ODORS/SPARKS  ,93401,"['flt', '1373', 'ewrlax', 'crew', 'reports', 'spark', 'sidewall', 'floor', 'area', 'seat', '1a', 'live', 'tv4', 'components', 'terminated', 'disconnect', 'iaw', 'a321', 'amm', 'ea', '3433', 'mint', 'seat', 'ops', 'check', 'good', 'mddr', 'cleared', 'mx4', 'updated', 'placard', 'removed', 'removed', 'replaced', 'zone', '7', 'circuit', 'breaker', 'precaution', 'cw', 'wo', '1200609', 'supplemental', 'information', 'added', 'descript']",SMOKE/FUMES/ODORS/SPARKS  ,OTHER                     
OTHER                     ,63461,"['cabin', 'emergency', 'exit', 'lighting', 'overhead', 'bins', 'aircraft', 'right', 'op', 'forward', 'row', '15def', 'grounded', 'yes', 'removed', 'replaced', 'emergency', 'exit', 'power', 'supply', 'battery', 'pack', 'm1676', 'iaw', 'b737800', 'amm', '335106960805']",OTHER                     ,NO TEST                   
OTHER                     ,51630,"['emergency', 'power', 'supply', 'unit', '12wl', 'inop', 'emergency', 'power', 'supply', 'unit', '12wl', 'replaced', 'iaw', 'amm', '335138000001a', 'amm', '335138400001a', 'ops', 'chk', 'good']",OTHER                     ,NO TEST                   
WARNING INDICATION        ,63178,"['captains', 'fmc', 'failed', 'partially', 'recovered', 'landing', 'grounded', 'yes', 'fmc', 'replaced', 'iaw', 'b737900', 'amm', '346102', 'sytem', 'tested', 'ok']",WARNING INDICATION        ,NO TEST                   
OTHER                     ,78019,"['ramp', 'trouble', 'opening', 'main', 'cabin', 'door', 'removed', 'service', 'found', 'main', 'cabin', 'door', 'outer', 'handle', 'bumper', 'stop', 'rubber', 'deteriorated', 'removed', 'replaced', 'mcd', 'outer', 'handle', 'bumper', 'stop', 'ref', 'amm', '521111000801', '521111400801', 'mcn', '652083901', 'issue', '02', 'mcd', 'operates', 'normal', 'returned', 'servic']",OTHER                     ,NO WARNING INDICATION     
OTHER                     ,7086,"['aircraft', 'base', 'maintenance', 'inoperative', 'escape', 'slide', 'light', 'passenger', 'crew', 'door', '832', 'replaced', 'escape', 'slideraft', 'passenger', 'crew', 'door', '832', 'per', 'job', 'card', '26l00025011']",OTHER                     ,ENGINE STOPPAGE           
WARNING INDICATION        ,29417,"['take', 'off', 'landing', 'gear', 'slow', 'retract', 'made', 'loud', 'squealing', 'noise', 'sequencing', 'retract', 'off', 'roll', 'spoiler', 'outboard', 'caution', '2', 'hyd', 'iso', 'valv', 'caution', 'illuminated', 'gear', 'went', 'up', 'lights', 'extinguished', 'everything', 'appeared', 'normal', 'arrival', 'gear', 'selected', 'down', 'exact', 'thing', 'happened', 'again', '3', 'green', 'indicated', 'main', 'gear', 'selector', 'normal', 'landing', 'accomplished', 'removed', 'service', 'replaced', '2', 'hyd', 'system', 'isolation', 'valve', '2', 'hyd', 'system', 'reservoir', 'ops', 'check', 'good', 'returned', 'servic']",WARNING INDICATION        ,INFLIGHT SEPARATION       
OTHER                     ,82480,"['rows', '8', 'thru', '11', 'def', 'overhead', 'bin', 'emergency', 'lights', 'inop', '01', 'replaced', 'battery', 'charger', 'pack', 'per', 'amm', '335106', 'ops', 'good']",OTHER                     ,NO TEST                   
OTHER                     ,39894,"['panel', 'unsecured', 'seats', '11bc', '01', 'resecured', 'panel', 'aisle', 'emergency', 'light', 'ref', 'amm', '335103']",OTHER                     ,NO TEST                   
OTHER                     ,7985,"['aircraft', 'grounded', 'forward', 'galley', 'door', 'girt', 'bar', 'loose', 'needs', 'tightened', 'adjusted', 'forward', 'galley', 'door', 'girt', 'bar', 'bracket', 'per', 'b737', 'amm', '256002']",OTHER                     ,F.O.D.                    
OTHER                     ,58756,"['aircraft', 'base', 'maintenance', 'delaminated', 'outer', 'windows', 'fwd', 'aft', 'entry', 'door', 'passenger', 'cabin', 'replaced', 'outer', 'windows', 'forward', 'aala202209067868', 'aft', 'aala202209077877', 'entry', 'door', 'passenger', 'cabin', 'per', 'amm', '563100400801']",OTHER                     ,NO TEST                   
OTHER                     ,7854,"['aircraft', 'grounded', 'found', 'seat', '24abc', 'wrong', 'color', 'emergency', 'exit', 'light', 'replaced', 'exit', 'light', 'correct', 'one', 'accomplished', 'satisfactory', 'operational', 'check', 'per', 'amm', '335113']",OTHER                     ,NO TEST                   
OTHER                     ,9137,"['aircraft', 'grounded', 'emergency', 'power', 'supply', 'batteries', 'failed', 'operations', 'test', 'mid', 'left', 'mid', 'right', 'aft', 'removed', 'replaced', 'emergency', 'power', 'supply', 'unit', 'batteries', 'mid', 'left', 'aala202201035400', 'mid', 'right', 'aala202201039231', 'aft', 'per', 'amm', '335138']",OTHER                     ,NO TEST                   
